dataset,missing_rate,trial,method,ROC-AUC,F1,Accuracy,Log-loss,MCC,n_nodes,n_edges,n_hyperedges,n_test
Epstein emails 2007–2025 (full),0.1,2,Matrix Completion,0.5665306122448979,0.05555555555555555,0.5142857142857142,1.9616707298630327,0.1203858530857692,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,CHESHIRE,0.845204081632653,0.4631578947368421,0.6357142857142857,2.054321049587937,0.35435182713131924,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599454,0.0,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Common Neighbors,0.5474489795918368,0.18181818181818182,0.55,7.0200407980821655,0.22941573387056177,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Jaccard,0.4852040816326531,0.024390243902439025,0.42857142857142855,8.792952097909422,-0.2551551815399144,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Adamic–Adar,0.5740816326530612,0.18181818181818182,0.55,7.017132143812611,0.22941573387056177,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Resource Allocation,0.5775510204081633,0.18181818181818182,0.55,7.038492052501413,0.22941573387056177,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Preferential Attachment,0.5838775510204082,0.20512820512820512,0.5571428571428572,4.978082863893685,0.24618298195866545,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Katz,0.5768367346938775,0.0547945205479452,0.5071428571428571,5.904786572224634,0.049326362366699,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Personalized PageRank,0.5463265306122449,0.15789473684210525,0.5428571428571428,4.667052001798762,0.21160368475757949,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,node2vec,0.3795918367346939,0.21428571428571427,0.5285714285714286,1.6643826881960029,0.09523809523809523,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,Matrix Completion,0.6048979591836734,0.05555555555555555,0.5142857142857142,2.1246970050245966,0.1203858530857692,426,543,704,70
Epstein emails 2007–2025 (full),0.1,3,CHESHIRE,0.9112244897959183,0.7387387387387387,0.7928571428571428,1.533413702165409,0.6435381994422819,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599454,0.0,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Common Neighbors,0.6224489795918368,0.42696629213483145,0.6357142857142857,5.857569363914817,0.3962635403218794,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Jaccard,0.5196938775510204,0.05194805194805195,0.4785714285714286,6.734069981931159,-0.09832102880166932,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Adamic–Adar,0.6432653061224489,0.18181818181818182,0.55,5.921451849046794,0.22941573387056177,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Resource Allocation,0.6432653061224489,0.13333333333333333,0.5357142857142857,5.9305285187746835,0.19245008972987526,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Preferential Attachment,0.6894897959183673,0.10810810810810811,0.5285714285714286,4.271926071264867,0.17149858514250885,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Katz,0.606326530612245,0.0,0.4928571428571429,5.920679234707973,-0.08481889296799709,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Personalized PageRank,0.6360204081632653,0.028169014084507043,0.5071428571428571,3.9442847998993305,0.08481889296799709,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,node2vec,0.4277551020408163,0.30952380952380953,0.5857142857142857,1.6482712752033692,0.2857142857142857,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,Matrix Completion,0.5659183673469388,0.13333333333333333,0.5357142857142857,2.889465764993651,0.19245008972987526,426,543,704,70
Epstein emails 2007–2025 (full),0.1,4,CHESHIRE,0.9148979591836734,0.7387387387387387,0.7928571428571428,1.8215156015900484,0.6435381994422819,426,543,704,70
Epstein emails 2007–2025 (full),0.3,0,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,Common Neighbors,0.5378922306327352,0.046296296296296294,0.5118483412322274,8.36573425437229,0.1095007199696007,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,Jaccard,0.5238314503268121,0.03508771929824561,0.4786729857819905,9.071265423534467,-0.1084652289093281,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,Adamic–Adar,0.5488084274836594,0.10762331838565023,0.5284360189573459,8.355298236701207,0.1710797845536603,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,Resource Allocation,0.5489207340356237,0.10762331838565023,0.5284360189573459,8.367357762807071,0.1710797845536603,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,Preferential Attachment,0.5666427079355809,0.018779342723004695,0.504739336492891,6.212954007852278,0.06900655593423542,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,Katz,0.548583814379731,0.018691588785046728,0.5023696682464455,8.088920950376764,0.028205406366325913,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,Personalized PageRank,0.5276723344039891,0.037209302325581395,0.509478672985782,6.060291583704384,0.0978231976089037,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,node2vec,0.4442173356393611,0.16806722689075632,0.5308056872037915,1.9109583520485856,0.1258817936510608,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,Matrix Completion,0.5107252757125851,0.046296296296296294,0.5118483412322274,2.149045497315675,0.1095007199696007,426,543,704,211
Epstein emails 2007–2025 (full),0.3,0,CHESHIRE,0.8876485254149727,0.7878787878787878,0.8175355450236966,1.7772910931518902,0.6614562468309865,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Common Neighbors,0.527458951955257,0.028037383177570093,0.5071090047393365,8.87820338849649,0.08461621909897775,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Jaccard,0.5228319220143303,0.034934497816593885,0.476303317535545,9.473028333069891,-0.11726625745504864,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Adamic–Adar,0.5357134835246288,0.018779342723004695,0.504739336492891,8.887397935440163,0.06900655593423542,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Resource Allocation,0.5357134835246288,0.028037383177570093,0.5071090047393365,8.903875529433307,0.08461621909897775,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Preferential Attachment,0.5560971227061386,0.046296296296296294,0.5118483412322274,6.294253848623992,0.1095007199696007,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Katz,0.5519417802834617,0.0,0.495260663507109,8.734887265591126,-0.06900655593423542,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Personalized PageRank,0.5262235798836504,0.018779342723004695,0.504739336492891,6.515025479159657,0.06900655593423542,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,node2vec,0.46692572044653086,0.13559322033898305,0.5165876777251185,1.8088096198396413,0.07026398585198938,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,Matrix Completion,0.4999550773792143,0.0,0.4976303317535545,3.342962370450245,-0.04873701788285793,426,543,704,211
Epstein emails 2007–2025 (full),0.3,1,CHESHIRE,0.8885132858650975,0.7411764705882353,0.7914691943127962,1.8821232698790065,0.6326688412491285,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Common Neighbors,0.5079513038790684,0.0995850622406639,0.48578199052132703,8.953962008443662,-0.055328333517248814,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Jaccard,0.5007187619325713,0.008733624454148471,0.46208530805687204,9.775482578353337,-0.18762601192807782,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Adamic–Adar,0.5186541182812606,0.06422018348623854,0.5165876777251185,8.940237222144034,0.12987482388637941,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Resource Allocation,0.5186541182812606,0.0730593607305936,0.518957345971564,8.942413166612143,0.13900960937138318,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Preferential Attachment,0.53103030030772,0.028037383177570093,0.5071090047393365,6.468117635062002,0.08461621909897775,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Katz,0.520653174906224,0.009345794392523364,0.4976303317535545,8.657525969094717,-0.028205406366325913,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Personalized PageRank,0.4855573774173986,0.009433962264150943,0.5023696682464455,6.717053129149305,0.04873701788285793,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,node2vec,0.42346308483636935,0.1222707423580786,0.523696682464455,1.927180025577858,0.11726625745504864,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,Matrix Completion,0.5187551941780284,0.009389671361502348,0.5,2.080557940502237,0.0,426,543,704,211
Epstein emails 2007–2025 (full),0.3,2,CHESHIRE,0.9016306911345209,0.7736389684813754,0.8127962085308057,1.5244168064605028,0.6667687205006617,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599453,0.0,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,Common Neighbors,0.5358707126973788,0.18604651162790697,0.5023696682464455,8.384731578670062,0.007532435771547094,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,Jaccard,0.5267626513330789,0.017391304347826087,0.46445497630331756,9.24657583134747,-0.17142017554394917,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,Adamic–Adar,0.5491004245187665,0.13274336283185842,0.5355450236966824,8.376827472276691,0.19197665705766642,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,Resource Allocation,0.549617034657802,0.10762331838565023,0.5284360189573459,8.398007067683842,0.1710797845536603,426,543,704,211
Epstein emails 2007–2025 (full),0.3,3,Preferential Attachment,0.5662384043485097,0.055299539170506916,0.514218009478673,6.158443381697793,0.12009611535381534,426,543,704,211
