"dataset","mechanism","rho","trial","fit","roc_auc","avg_precision","fit_seconds"
"Enron emails (core-100)","MCAR",0.1,5,"MPLE",0.68800219138057,0.592184362070332,0.0919999999999987
"Enron emails (core-100)","MCAR",0.1,6,"MPLE",0.635819941563185,0.564979713691127,0.0939999999999994
"Enron emails (core-100)","MCAR",0.1,7,"MPLE",0.684578159240321,0.607719472856079,0.0910000000000011
"Enron emails (core-100)","MCAR",0.1,8,"MPLE",0.683436815193572,0.596384646059905,0.093
"Enron emails (core-100)","MCAR",0.1,9,"MPLE",0.709870343316289,0.604796550606129,0.0960000000000001
"Enron emails (core-100)","MCAR",0.1,10,"MPLE",0.704391891891892,0.623050946196922,0.110999999999999
"Enron emails (core-100)","MCAR",0.3,1,"MPLE",0.685533089344246,0.612142784673023,0.0899999999999999
"Enron emails (core-100)","MCAR",0.3,2,"MPLE",0.71479167085604,0.632411607946081,0.0809999999999995
"Enron emails (core-100)","MCAR",0.3,3,"MPLE",0.70448581310704,0.61660501178213,0.0869999999999997
"Enron emails (core-100)","MCAR",0.3,4,"MPLE",0.713150274487724,0.6230581637896,0.0889999999999986
"Enron emails (core-100)","MCAR",0.3,5,"MPLE",0.695492067003157,0.626839035351995,0.0869999999999997
"Enron emails (core-100)","MCAR",0.3,6,"MPLE",0.705476180900481,0.621949415767981,0.0879999999999992
"Enron emails (core-100)","MCAR",0.3,7,"MPLE",0.702628245088379,0.626736911493068,0.0890000000000004
"Enron emails (core-100)","MCAR",0.3,8,"MPLE",0.686993504795994,0.600587425871513,0.0829999999999984
"Enron emails (core-100)","MCAR",0.3,9,"MPLE",0.691196283858513,0.615180497483533,0.0850000000000009
"Enron emails (core-100)","MCAR",0.3,10,"MPLE",0.677796155160972,0.594938954667452,0.0869999999999997
"Enron emails (core-100)","MCAR",0.5,1,"MPLE",0.691161472985188,0.63514634198787,0.0709999999999997
"Enron emails (core-100)","MCAR",0.5,2,"MPLE",0.721917800774931,0.664000759006566,0.077
"Enron emails (core-100)","MCAR",0.5,3,"MPLE",0.731702258314026,0.684335352175199,0.0730000000000004
"Enron emails (core-100)","MCAR",0.5,4,"MPLE",0.720032098599943,0.658246710773128,0.0739999999999998
"Enron emails (core-100)","MCAR",0.5,5,"MPLE",0.738027783765572,0.68128890764473,0.0749999999999993
"Enron emails (core-100)","MCAR",0.5,6,"MPLE",0.742325409519807,0.681370930830725,0.081999999999999
