,Airline,Code
390,Cyprus Airways,CY
391,Cyprus Turkish Airlines,YK
392,Czech Airlines,OK
393,DAS Air Cargo,WD
394,DAT Danish Air Transport,DX
395,DHL International,ES
396,DHL de Guatemala,L3
397,Daallo Airlines,D3
398,Dagestan Airlines,N2
399,Dalavia,H8
400,Darwin Airline,0D
401,Dauair,D5
402,Delta Air Lines,DL
403,Deutsche Bahn,2A
404,Deutsche Rettungsflugwacht,1I
405,Dinar,D7
406,Dirgantara Air Service,AW
407,Discovery Airways,DH
408,Djibouti Airlines,D8
409,Dominicana de Aviaci,DO
410,Domodedovo Airlines,E3
411,DonbassAero,5D
412,Dragonair,KA
413,Druk Air,KB
414,dba,DI
415,Electronic Data Systems,1C
416,EUjet,VE
417,EVA Air,BR
418,Eagle Air,H7
419,East African,QU
420,East African Safari Air,S9
421,Eastern Airways,T3
422,Eastland Air,DK
423,Eastwind Airlines,W9
424,Edelweiss Air,WK
425,Egyptair,MS
426,El Al Israel Airlines,LY
427,El-Buraq Air Transport,UZ
428,Emirates,EK
429,Empire Airlines,EM
430,Empresa Ecuatoriana De Aviacion,EU
431,Enkor JSC,G8
432,Eos Airlines,E0
433,Eritrean Airlines,B8
434,Estafeta Carga Aerea,E7
435,Estonian Air,OV
436,Ethiopian Airlines,ET
437,Etihad Airways,EY
438,Euro Exec Express,RZ
439,Eurocypria Airlines,UI
440,Eurofly Service,GJ
441,Eurolot,K2
442,Euromanx Airways,3W
443,European Air Express,EA
444,European Air Transport,QY
445,European Aviation Air Charter,E7
446,Eurowings,EW
447,Evergreen International Airlines,EZ
448,Excel Airways,JN
449,Execair Aviation,MB
450,Executive Airlines,OW
451,Expo Aviation,8D
452,Express One International,EO
453,ExpressJet,XE
454,easyJet,U2
455,Falcon Aviation,IH
456,Far Eastern Air Transport,EF
457,Faroejet,F6
458,Faso Airways,F3
459,Federal Express,FX
460,Fika Salaama Airlines,N8
461,Finalair Congo,4S
462,Finnair,AY
463,Finncomm Airlines,FC
464,Firefly,FY
465,First Air,7F
466,First Choice Airways,DP
467,Fischer Air,8F
468,Flightline,B5
469,Florida Coastal Airlines,PA
470,Florida West International Airways,RF
471,Fly Air,F2
472,Fly Me Sweden,SH
473,AirAsia X,D7
474,FlyLal,TE
475,FlyNordic,LF
476,Flybaboo,F7
477,Flybe,BE
478,Flyglobespan,B4
479,Formosa Airlines,VY
480,Forward Air International Airlines,BN
481,Four Star Aviation / Four Star Cargo,HK
482,Freedom Air,FP
483,Frontier Airlines,F9
484,Frontier Flying Service,2F
485,Futura International Airways,FH
486,GB Airways,GT
487,Galaxy Air,7O
488,Galileo International,1G
489,Gambia International Airlines,GC
490,Gandalf Airlines,G7
491,Garuda Indonesia,GA
492,Gazpromavia,4G
493,Gemini Air Cargo,GR
494,Georgian Airways,A9
495,Georgian National Airlines,QB
496,Germania,ST
497,Germanwings,4U
498,Gestair,GP
499,Ghana International Airlines,G0
500,Go Air,G8
501,Go One Airways,GK
502,GoJet Airlines,G7
503,Gol Transportes Aéreos,G3
504,Golden Air,DC
505,Gorkha Airlines,G1
506,Grant Aviation,GS
507,Great Lakes Airlines,ZK
508,Great Wall Airlines,IJ
509,Grupo TACA,TA
510,Guine Bissaur Airlines,G6
511,Guinee Airlines,J9
512,Gujarat Airways,G8
513,Gulf Air Bahrain,GF
514,Guyana Airways 2000,GY
515,Hageland Aviation Services,H6
516,Hahn Air,HR
517,Hainan Airlines,HU
518,Hainan Phoenix Information Systems,1R
519,Haiti Ambassador Airlines,2T
520,Hamburg International,4R
521,TUIfly,X3
522,Hapagfly,HF
523,Harbor Airlines,HB
524,Harmony Airways,HQ
525,Hawaiian Airlines,HA
526,Hawaiian Pacific Airlines,HP
527,Hawkair,BH
528,Heavylift Cargo Airlines,HN
529,Heli France,8H
530,Helijet,JB
531,Helios Airways,ZU
532,Hellas Jet,T4
533,Hello,HW
534,Helvetic Airways,2L
535,Hemus Air,DU
536,Hewa Bora Airways,EO
537,Hex'Air,UD
538,Hi Fly,5K
539,Hokkaido International Airlines,HD
540,Hola Airlines,H5
541,Hong Kong Airlines,HX
542,Hong Kong Express Airways,UO
543,Hope Air,HH
544,Horizon Air,QX
545,Horizon Airlines,BN
546,Héli Sécurité Helicopter Airlines,H4
547,IBC Airways,II
548,ICAR Airlines,C3
549,INFINI Travel Information,1F
550,ITA Software,1U
551,Iberia Airlines,IB
552,Iberworld,TY
553,Ibex Airlines,FW
554,Icelandair,FI
555,Imair Airlines,IK
556,Independence Air,DH
557,IndiGo Airlines,6E
558,Indian Airlines,IC
559,Indigo,I9
560,Indonesia AirAsia,QZ
561,Indonesian Airlines,IO
562,InteliJet Airways,IJ
563,Inter Islands Airlines,H4
564,Interair South Africa,D6
565,Interavia Airlines,ZA
566,Intercontinental de Aviaci,RS
567,Interlink Airlines,ID
568,International Business Air,6I
569,Intersky,3L
570,Interstate Airline,I4
571,Iran Air,IR
572,Iran Aseman Airlines,EP
573,Iraqi Airways,IA
574,Island Airlines,IS
575,Island Express,2S
576,Cargo Plus Aviation,8L
577,Islands Nationair,CN
578,Islas Airways,IF
579,Islena De Inversiones,WC
580,Israir,6H
581,Itali Airlines,9X
582,Itek Air,GI
583,Izair,H9
584,JAL Express,JC
585,JALways,JO
586,JSC Transport Automated Information Systems,1M
587,Japan Airlines,JL
588,Japan Airlines Domestic,JL
589,Japan Asia Airways,EG
590,Japan Transocean Air,NU
591,Jat Airways,JU
592,Jatayu Airlines,VJ
593,Jazeera Airways,J9
594,Jeju Air,7C
595,Jet Airways,QJ
596,Jetclub,0J
597,Jetstar Asia Airways,3K
598,Jet2.com,LS
