Name,Code
Mc Clellan Airfield,MCC
Gerald R. Ford International Airport,GRR
Winkler County Airport,INK
Fresno Yosemite International Airport,FAT
Vero Beach Municipal Airport,VRB
Imperial County Airport,IPL
Nashville International Airport,BNA
Laredo International Airport,LRD
Elmendorf Air Force Base,EDF
Ralph Wien Memorial Airport,OTZ
Altoona Blair County Airport,AOO
Dyess Air Force Base,DYS
South Arkansas Regional At Goodwin Field,ELD
La Guardia Airport,LGA
Tallahassee Regional Airport,TLH
Dupage Airport,DPA
Waco Regional Airport,ACT
Augusta State Airport,AUG
Hillsboro Municipal Airport,INJ
Mc Kellar Sipes Regional Airport,MKL
Molokai Airport,MKK
Godman Army Air Field,FTK
New River MCAS /H/ /Mccutcheon Fld/ Airport,\N
San Angelo Regional Mathis Field,SJT
Calexico International Airport,CXL
Chico Municipal Airport,CIC
Burlington International Airport,BTV
Jacksonville International Airport,JAX
Durango La Plata County Airport,DRO
Washington Dulles International Airport,IAD
Easterwood Field,CLL
Felts Field,SFF
General Mitchell International Airport,MKE
Abilene Regional Airport,ABI
Columbia Regional Airport,COU
Portland International Airport,PDX
Dade Collier Training and Transition Airport,TNT
Palm Beach International Airport,PBI
Fort Worth Meacham International Airport,FTW
Ogdensburg International Airport,OGS
Boeing Field King County International Airport,BFI
Lackland Air Force Base,SKF
Honolulu International Airport,HNL
Des Moines International Airport,DSM
Coastal Carolina Regional Airport,EWN
San Diego International Airport,SAN
Monroe Regional Airport,MLU
Shaw Air Force Base,SSC
Ontario International Airport,ONT
Majors Airport,GVT
Roswell International Air Center Airport,ROW
Coleman A. Young Municipal Airport,DET
Brownsville South Padre Island International Airport,BRO
Dothan Regional Airport,DHN
Cape May County Airport,WWD
Selfridge Angb Airport,MTC
Four Corners Regional Airport,FMN
Corpus Christi International Airport,CRP
Syracuse Hancock International Airport,SYR
Naval Air Station Key West/Boca Chica Field,NQX
Chicago Midway International Airport,MDW
Norman Y. Mineta San Jose International Airport,SJC
Lea County Regional Airport,HOB
Northeast Philadelphia Airport,PNE
Denver International Airport,DEN
Philadelphia International Airport,PHL
Sioux Gateway Col. Bud Day Field,SUX
Middle Georgia Regional Airport,MCN
Truth Or Consequences Municipal Airport,TCS
Palmdale Regional/USAF Plant 42 Airport,PMD
Randolph Air Force Base,RND
El Centro Naf Airport,NJK
Port Columbus International Airport,CMH
Drake Field,FYV
Henry Post Army Air Field (Fort Sill),FSI
Princeton Municipal Airport,PNM
Wright-Patterson Air Force Base,FFO
Edward G. Pitka Sr Airport,GAL
Chandler Municipal Airport,\N
Mineral Wells Airport,MWL
Mc Connell Air Force Base,IAB
New Orleans NAS JRB/Alvin Callender Field,NBG
Beaufort County Airport,BFT
Texarkana Regional Webb Field,TXK
Plattsburgh International Airport,PBG
Phillips Army Air Field,APG
Tucumcari Municipal Airport,TCC
Ted Stevens Anchorage International Airport,ANC
Robert Gray  Army Air Field Airport,GRK
Black Rock Airport,ZUN
Bellingham International Airport,BLI
Millington Regional Jetport Airport,NQA
Elkins-Randolph Co-Jennings Randolph Field,EKN
Hartford Brainard Airport,HFD
North Central State Airport,SFZ
Mobile Regional Airport,MOB
Moffett Federal Airfield,NUQ
Santa Fe Municipal Airport,SAF
Barking Sands Airport,BKH
Beauregard Regional Airport,DRI
Bradshaw Army Airfield,BSF
Nogales International Airport,OLS
Mac Dill Air Force Base,MCF
Scott AFB/Midamerica Airport,BLV
Opa-locka Executive Airport,OPF
Del Rio International Airport,DRT
Southwest Florida International Airport,RSW
King Salmon Airport,AKN
Muir Army Air Field (Fort Indiantown Gap) Airport,MUI
Kapalua Airport,JHM
John F Kennedy International Airport,JFK
Homestead ARB Airport,HST
Riverside Municipal Airport,RAL
Sherman Army Air Field,FLV
Wallops Flight Facility Airport,WAL
Holloman Air Force Base,HMN
Willow Grove Naval Air Station/Joint Reserve Base,NXX
Cheyenne Regional Jerry Olson Field,CYS
Stockton Metropolitan Airport,SCK
Charleston Air Force Base-International Airport,CHS
Reno Tahoe International Airport,RNO
Ketchikan International Airport,KTN
Willow Run Airport,YIP
Vandenberg Air Force Base,VBG
Birmingham-Shuttlesworth International Airport,BHM
Lakehurst Maxfield Field Airport,NEL
Nellis Air Force Base,LSV
March ARB Airport,RIV
Modesto City Co-Harry Sham Field,MOD
Sacramento International Airport,SMF
Waukegan National Airport,UGN
City of Colorado Springs Municipal Airport,COS
Buffalo Niagara International Airport,BUF
Griffing Sandusky Airport,SKY
Snohomish County (Paine Field) Airport,PAE
Mountain Home Air Force Base,MUO
Cedar City Regional Airport,CDC
Bradley International Airport,BDL
Mc Allen Miller International Airport,MFE
